Title,Description,Time,Tag,Link
Dundee maritime attraction gets £3.55m funding boost,Discovery Point will use the Heritage Fund award to build new exhibition space and a restaurant.,17 Apr 2025,Tayside & Central Scotland,https://www.bbc.com/news/articles/cy9vn30j17po
Are twins allergic to the same things?,"If one of a pair of twins is allergic to something, does that mean the other twin will be sensitive too?",26 Apr 2025,Future,https://www.bbc.com/future/article/20250425-do-twins-become-allergic-to-the-same-things
Why the trees behind shea butter beauty cream are under threat,One man's struggle to save Uganda's once-profitable trees that produce shea butter.,1 May 2025,Africa,https://www.bbc.com/news/articles/cjewge4lvv0o
Two penguin chicks born at Newquay Zoo,The two Humboldt penguin chicks hatched in April after their eggs were laid in March.,30 Apr 2025,Cornwall,https://www.bbc.com/news/articles/crrzvjp9dx5o
Date set for opening of £50m bypass,West Sussex County Council says the bypass aims to improve travelling and boost the local economy.,24 Apr 2025,Sussex,https://www.bbc.com/news/articles/clywe8wl433o
When Pope Francis received a signed Man Utd shirt,The Greater Manchester Mayor presented the pontiff with the shirt during a Vatican visit in 2023.,21 Apr 2025,Manchester,https://www.bbc.com/news/articles/cdjlnxjx3w1o
"Trump deep sea mining order violates law, China says",The US president speeds up permits for a practice opposed by many countries and environmentalists.,25 Apr 2025,Science & Environment,https://www.bbc.com/news/articles/cx2v37z333lo
Why Australia's opposition is vying for votes on Chinese social media,Chinese Australians are a crucial group that deserted the conservative Liberal-National coalition in the last election.,2 May 2025,World,https://www.bbc.com/news/articles/cqx4vr5nqr8o
Extra funding for council's climate change plans,Dorset Council will spend an extra £6m to reduce greenhouse gas emissions at a faster rate.,27 Mar 2025,Dorset,https://www.bbc.com/news/articles/c1lp0n2jrp0o
Man sets off on 53-mile walk dressed as a curlew,Matt Trevelyan made the Eurasian curlew costume out of polystyrene and bamboo.,21 Apr 2025,North Yorkshire,https://www.bbc.com/news/articles/cp91knr7ygpo
Work set to start on new city flood defences,Offices are set to be demolished and trees chopped down as part of the project.,3 days ago,Derbyshire,https://www.bbc.com/news/articles/c057g62gp87o
Wetlands site to be restored thanks to cash boost,"The transformation aims to improve the habitat for rare and endangered species, the attraction says.",5 days ago,Lancashire,https://www.bbc.com/news/articles/c74z4v3ez0lo
Community groups called on to run sports pavilion,Woking Borough Council is calling on community groups to apply to run the West Byfleet Pavilion.,2 days ago,Surrey,https://www.bbc.com/news/articles/c39xnpvev4wo
Stately home supports No Mow campaign,The stately home is allowing wildflowers to bloom in its lawns for the month of May.,1 day ago,Lincolnshire,https://www.bbc.com/news/articles/c9q0g7g5wr1o
Major roadworks scheme to start in May,National Highways has announced that the upgrade will start on 19 May.,7 days ago,Nottinghamshire,https://www.bbc.com/news/articles/cq808vy3d59o
Wildlife trust's call to protect hoverfly 'heroes',The International Union for the Conservation of Nature classes hoverflies as a threatened species.,20 Apr 2025,England,https://www.bbc.com/news/articles/c1me8jzjerlo
Passengers invited to try out new rail system,Passengers will be able to take a ride on the battery-powered vehicle along a 220m test track.,5 May 2025,Coventry & Warwickshire,https://www.bbc.com/news/articles/c5ygn69p943o
EV charging points approved for 20 car parks,"The EV points will be in car parks near residents with no off-road parking, Kirklees Council says.",7 days ago,No tag,https://www.bbc.com/news/articles/cp919p9j4e2o
Interactive art trail explores life by the sea,The trail aims to tell the stories of Devon families with a strong connection to the sea.,5 days ago,Devon,https://www.bbc.com/news/articles/cy4v94q37l4o
How can I reduce my water usage?,BBC South's environment correspondent Jon Cuthill looks at his own water footprint.,29 Apr 2025,Hampshire & Isle of Wight,https://www.bbc.com/news/articles/ckg181pjp3po
New Reform councillor promises no quick fixes,Reform UK's performance wiped out a Conservative majority held for nearly 30 years.,4 May 2025,Kent,https://www.bbc.com/news/articles/cj9ekx3mz4yo
Mayor reveals schools receiving green scheme money,"City Hall said the scheme could save schools an average of almost £15,000 on their energy bills.",14 Apr 2025,London,https://www.bbc.com/news/articles/cvgn4pewq4lo
Funding cut is 'catastrophic' for dance company,Echo Echo Dance Theatre Company's say their funding application for more than £112K was rejected.,6 days ago,Northern Ireland,https://www.bbc.com/news/articles/cwy6y335g16o
What did Canadian voters make of the big debate?,Seven voters across the political spectrum took us into their thoughts after watching candidates debate.,19 Apr 2025,US & Canada,https://www.bbc.com/news/articles/c99pg5yg0e3o
Scotland's most remote railway adventure,"Running from Inverness to Britain's most northerly junction, the Far North Line passes through sheep meadows, traditional villages and the world's only Unesco-listed blanket peat bog.",27 Apr 2025,Travel,https://www.bbc.com/travel/article/20250423-scotlands-most-remote-railway-adventure
Peak rail fares to be scrapped by Scottish government,More expensive fares for those travelling on trains during busy times will be removed from September.,8 days ago,Scotland,https://www.bbc.com/news/articles/c8x8xe2140jo
Swinney leads Scottish tributes following Pope's death,"Scottish religious and political leaders have paid tribute to the pontiff, who has died at the age of 88.",21 Apr 2025,Scotland Politics,https://www.bbc.com/news/articles/c4grw94x42no
Turning sewage into the world's strongest material,United Utilities trials new tech at a Manchester sewage works turning sludge into graphene and fuel.,20 Apr 2025,Manchester,https://www.bbc.com/news/articles/cn7x6z4gd1zo
How climate change is supercharging allergies,Seasonal allergy sufferers are being hit with more pollen over a longer season due to rising temperatures alongside extreme allergy events like thunderstorm asthma.,12 Apr 2025,Future,https://www.bbc.com/future/article/20250410-how-climate-driven-thunderstorms-supercharge-pollen-allergies
Plea to block wind farm over thousands of forecast bird deaths,Five conservation groups write to the first minister opposing the Berwick Bank development.,30 Apr 2025,Scotland,https://www.bbc.com/news/articles/cj68glee30eo
Five things Carney has pledged to do as Canadian PM,"The election winner wants to double Canada's home-building rate, cut some taxes and boost car-making.",2 May 2025,US & Canada,https://www.bbc.com/news/articles/c209yrq3y2po
Taxi driver fined after offering illegal rides,"Talal Bin Mumtaz Raja operated while his licence was suspended, illegally plying for hire.",27 Apr 2025,Berkshire,https://www.bbc.com/news/articles/cpdz574pd20o
Peace negotiator urges young people to 'stay and cement the peace',"Senator Mitchell - the chairman of the 1998 Good Friday Agreement negotiations - urges young people to ""stay and cement the peace"".",16 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/ce8240r8w84o
He wanted to be Australia's PM. But a 'Trump effect' thwarted Peter Dutton,A Trump effect and a lack of a coherent campaign saw opposition leader Peter Dutton lose the election.,3 May 2025,Australia,https://www.bbc.com/news/articles/cdxgwnj8v5eo
Grande dame hangs up her ballet shoes aged 89,Some of Sheena Gough's students travelled hundreds of miles for her classes in Edinburgh.,25 Apr 2025,"Edinburgh, Fife & East",https://www.bbc.com/news/articles/cp8k78nvj83o
Iraq sandstorm leaves many with breathing problems,"The sandstorm blanketed southern regions in an eerie, orange haze and shut down airports.",15 Apr 2025,Middle East,https://www.bbc.com/news/articles/c0kxznxyx5do
Hong Kong frees four pro-democracy lawmakers who completed jail terms,They were part of the Hong Kong 47 who tried to run an unofficial election primary.,29 Apr 2025,Asia,https://www.bbc.com/news/articles/c5y6zzg22r5o
Global breakthrough to tackle shipping emissions,Countries break ten-year deadlock to agree measures to reduce commercial shipping emissions.,11 Apr 2025,No tag,https://www.bbc.com/news/articles/c20xxv22wl9o
Fears canal running dry would 'devastate' villages,Visitors and locals say saving the water supply at Monmouthshire and Brecon Canal is crucial.,27 Apr 2025,Wales,https://www.bbc.com/news/articles/c87p5l8gg8po
Bottlenose dolphins spotted killing dolphin juvenile,"Rare attack seen by dolphin spotting tour could become more common as the seas warm, an expert says.",18 Apr 2025,Wales,https://www.bbc.com/news/articles/cpdz2ny9dqzo
Millions watch as Swedish elk begin annual migration,Millions of people have tuned in to watch moose on the move in northern Sweden over the past six years.,16 Apr 2025,Europe,https://www.bbc.com/news/articles/cewgn0v5j9po
Rainforest garden to be created at Bristol Zoo,A rainforest garden due to shown at RHS Chelsea Flower Show will be moved to Bristol Zoo.,5 May 2025,Bristol,https://www.bbc.com/news/articles/c0l034y1zyno
"England water pollution at 10-year high, campaigners say",Campaigners release official data showing the most serious pollution incidents in England are double the target.,16 Apr 2025,Science & Environment,https://www.bbc.com/news/articles/cy5rp6e75q4o
Science forest added to Latitude Festival line-up,Latitude Festival is one of the biggest festivals in the UK and takes place in Suffolk.,28 Apr 2025,Suffolk,https://www.bbc.com/news/articles/czjnwldvjn7o
Surrey experts help protect vital water supplies,A university produces online resources to protect and maintain unregulated water supplies.,24 Apr 2025,Surrey,https://www.bbc.com/news/articles/c39jwdezxmyo
Recycling points for coffee pods opened in city,"Bristol Waste sets up points at recycling centres in St Philip's, Hartcliffe Way and Avonmouth.",6 days ago,Bristol,https://www.bbc.com/news/articles/c4g9jmgnp5ro
Carbon net zero hotel 'better than original dream',"The Devon site has many sustainable features, including bedside lights made from recycled plastic.",24 Apr 2025,Devon,https://www.bbc.com/news/articles/cx26379qnnlo
Sea defence scheme to cost £4.5m more than planned,"In a meeting later, Brighton council cabinet members will be asked to increase funding to £11m.",24 Apr 2025,Sussex,https://www.bbc.com/news/articles/ckg213q20vko
The enthusiast searching for stunning sea slugs,"Eleanor Goodman says she loves them all, from the rainbow sea slug to the Disco Doris.",4 May 2025,England,https://www.bbc.com/news/articles/ckg1dk3km25o
The world's first deep sea mining test 50 years on,"Half a century after the world's first deep sea mining tests picked nodules from the seafloor off the US east coast, the damage has barely begun to heal.",3 days ago,Future,https://www.bbc.com/future/article/20250509-blake-plateau-the-uss-50-year-old-scars-from-the-worlds-first-deep-sea-mining-test-site
Wildlife trust considers beaver rewilding project,Surrey Wildlife Trust says reintroducing beavers into the county would help to improve wetlands.,22 Apr 2025,Surrey,https://www.bbc.com/news/articles/c1jx8dx27k5o
"Set out priorities, county's Lib Dems tell Reform",Reform is the largest block in Warwickshire where no party has taken overall control.,3 May 2025,Coventry & Warwickshire,https://www.bbc.com/news/articles/c20z3dr0yg3o
Woodland classroom could be built at reservoir,A road closure is in place leading up to the reservoir as roadworks begin to improve flood defences.,29 Apr 2025,Somerset,https://www.bbc.com/news/articles/cvg7q9en9xyo
"Opportunity for big US-China trade deal, says Bessent",The comments from the US Treasury Secretary come as the trade war between the world's two biggest economies has escalated.,23 Apr 2025,Business,https://www.bbc.com/news/articles/clywg25ykqno
Councillors agree £11m funding for Exceat Bridge,Councillors agree to redirect more than £11m towards plans to replace Exceat Bridge in East Sussex.,22 Apr 2025,Sussex,https://www.bbc.com/news/articles/c89gq4x15zjo
Plan for England's largest wind farm 'scaled back',"If approved, a wind farm on moors above Hebden Bridge will have fewer turbines than first planned.",29 Apr 2025,West Yorkshire,https://www.bbc.com/news/articles/clyw0z9dkv4o
Liberal Party names first female leader after historic Australia election loss,Sussan Ley takes over from Peter Dutton after he led the party to a bruising loss at an election earlier this month.,1 day ago,Australia,https://www.bbc.com/news/articles/cjrn4x1xr2do
Oil and gas firm plans to cut 250 jobs in Aberdeen,"Harbour Energy, a critic of the windfall tax, claims a ""punitive"" fiscal regime is harming profits and investment.",7 days ago,Scotland,https://www.bbc.com/news/articles/cq676vjmj43o
House building costs highest in London - report,Analysis on housebuilding costs was revealed at The Centre for London's Housing Summit on Wednesday.,2 May 2025,London,https://www.bbc.com/news/articles/c4gr7lejgj9o
Rare Iron Age textile to go on display for first time,"The piece of fine woven yarn is almost 2,500 years old and dates back to the early to middle part of the Iron Age.",23 Apr 2025,Scotland,https://www.bbc.com/news/articles/cg41e6dr2p1o
"No hosepipe ban in 2025, says water firm",The water firm says there are no plans for a ban despite the increasingly warm weather.,6 May 2025,England,https://www.bbc.com/news/articles/ce3v0p13ykqo
'People's Pope' and 'Battle for Church's future',"The death of Pope Francis, aged 88, dominates the front pages of the major UK papers.",22 Apr 2025,The Papers,https://www.bbc.com/news/articles/c87pr4710e8o
"Changing leader not enough to fix Tories, Badenoch says","The Tory leader says her party's comeback will be ""slow and steady"", after her heavy local election losses.",4 May 2025,Politics,https://www.bbc.com/news/articles/c5y6nv7l635o
Toad makes 'wonderful' comeback at national park,It is the first time natterjack toads have been recorded breeding at the Blackmoor site in 50 years.,2 days ago,Hampshire & Isle of Wight,https://www.bbc.com/news/articles/cje73exjd74o
US halts construction of giant wind farm off New York coast,The pause is a major blow to the US's wind energy industry which has been targeted by President Trump.,17 Apr 2025,US & Canada,https://www.bbc.com/news/articles/cwy7d8lz7wjo
Couple who set up theatre 'overwhelmed' by its success,"Every show put on at Backyard Theatre so far has sold out, say Neil Wilson and Cath Cooper.",20 Apr 2025,Somerset,https://www.bbc.com/news/articles/cy48pg9k02eo
Zero carbon research team aims to change the world,The team at the new Zero Carbon Innovation Centre want to make sustainable transport a reality.,16 Apr 2025,Nottinghamshire,https://www.bbc.com/news/articles/c39jxz97z00o
VE Day 80: Poignant thank you to a heroic generation,"VE Day 80 sees big crowds supporting surviving veterans of World War Two, our correspondent writes.",5 May 2025,UK,https://www.bbc.com/news/articles/cp8j69pz49no
Why alligators are the Everglades' bodyguards,These 'gnarly swamp monsters' are breathing life into Florida's Everglades.,19 Apr 2025,Future,https://www.bbc.com/future/article/20250417-how-alligators-keep-floridas-everglades-healthy
"Charity to plant 30,000 trees for mountain woodland",A project aims to restore an almost lost type of habitat in the Cairngorms.,15 Apr 2025,Highlands & Islands,https://www.bbc.com/news/articles/c24q9rem1n4o
"Moorland wildfire damaged 14,000 new trees",Fire crews were called to a large wildfire near March Haigh Reservoir on 10 April.,29 Apr 2025,West Yorkshire,https://www.bbc.com/news/articles/cgqvjw4qqjzo
"Riffs, rage and racers: Africa's top shots",A selection of the week's best photos from across the African continent and beyond.,2 May 2025,Africa,https://www.bbc.com/news/articles/c2kvwjjy21do
The scientists who leave no trace in the high Arctic,Scientists in the high Arctic are lifting their labs into the air to avoid damage from melting permafrost.,11 Apr 2025,Future,https://www.bbc.com/future/article/20250408-the-scientists-leaving-no-trace-in-the-arctic
Wildfire home scare has owners fearing about future,A mild winter followed by spring droughts has made this year particularly bad for wildfires in Wales.,12 Apr 2025,Wales,https://www.bbc.com/news/articles/c9veeypj93eo
The benefits of cleaning with vinegar,"Katarina Zimmer put vinegar to the test as a cleaning product and discovered a wide range of benefits, for people and the planet.",24 Apr 2025,Future,https://www.bbc.com/future/article/20250423-is-vinegar-safer-and-more-sustainable-than-other-cleaning-products
Jenkyns: fracking would save money for taxpayers,The new mayor for Greater Lincolnshire says she will be meeting with a fracking company.,4 May 2025,Lincolnshire,https://www.bbc.com/news/articles/c4g9112nd8vo
Blue Origin crew safely back on Earth after all-female space flight,Six women - including pop star Katy Perry - blasted off into space as part of an all-women suborbital mission,14 Apr 2025,Science & Environment,https://www.bbc.com/news/articles/cvg8e5gq8ljo
"Residents nervous about flood risk, says MP",George Freeman calls on the government to compel housebuilders to provide adequate drainage.,20 mins ago,Norfolk,https://www.bbc.com/news/articles/c071gp17nxyo
Town ferry to return 'by summer if not before',The passenger ferry service connecting West Lynn and King's Lynn has been suspended since January.,7 days ago,Norfolk,https://www.bbc.com/news/articles/c3v9vk2nzklo
Fruit and veg plots planned for Civic Hall garden,Plans to grow food in the garden were first suggested last September but are now being considered.,12 Apr 2025,England,https://www.bbc.com/news/articles/c75d322v292o
'Warm weather means strawberries are Easter ready',A Chichester-based strawberry grower says it has produced 50 tonnes more fruit than last year.,14 Apr 2025,Sussex,https://www.bbc.com/news/articles/cdjl9xv1jl3o
Thieves target charity twice in two weeks,'Vital' items used for repair cafés have been stolen from Vision 21.,25 Apr 2025,Gloucestershire,https://www.bbc.com/news/articles/cp8kd7n7e6yo
Students tackle 'massive problem' of flooding,"Students study the impact of flooding, aiming to ""make a difference for future generations"".",24 Apr 2025,Berkshire,https://www.bbc.com/news/articles/cpvr8dmgj1mo
Why Scotland could be hardest hit by RTS meter switch off,"Nearly 135,000 Scottish homes are still waiting for an equipment upgrade ahead of the 30 June deadline.",1 May 2025,Scotland,https://www.bbc.com/news/articles/czd3zp820g3o
Warwickshire vote sees Reform become largest party,Tory leader Izzi Seccombe loses her seat while the vote leaves the council under no overall control.,2 May 2025,Coventry & Warwickshire,https://www.bbc.com/news/articles/clywqljezd5o
Moving on 'bitter sweet' for conservation boss,Manx Wildlife Trust chief executive Leigh Morris reflects on five years leading the organisation.,19 Apr 2025,Isle of Man,https://www.bbc.com/news/articles/c4g22kpnx5po
Efforts made to save one of England's rarest fish,Arctic charr numbers in Windemere in the Lake District are falling and researchers want to know why.,25 Apr 2025,Cumbria,https://www.bbc.com/news/articles/cwy63ge60zno
Canada party leaders grilled in election debate on how to tackle Trump,"Frontrunner Mark Carney was tested in Wednesday's French-language debate, the first of two match-ups before the 28 April election.",17 Apr 2025,US & Canada,https://www.bbc.com/news/articles/ckgx6kl274zo
Barriers removed from coastal park over access concerns,"The barriers, installed to stop motorcyclists, had also restricted access for disabled visitors.",23 Apr 2025,Wales,https://www.bbc.com/news/articles/cx2y85ynk33o
One-way street plan aims to improve road safety,"Seven crashes have been recorded between 2019 and 2023 in the area, with five people left seriously injured.",23 Apr 2025,South Yorkshire,https://www.bbc.com/news/articles/cgrgz9kvw9yo
The dark WW2 history written into Germany's parks,"Eighty years after the end of World War Two, blasted trees and rubble forests tell a hidden story of wartime bombardment and Nazi terror.",30 Apr 2025,Future,https://www.bbc.com/future/article/20250429-we-planted-trees-among-the-rubble-the-dark-ww2-history-written-into-germanys-parks
Low carbon heat plans for 150 homes approved,Cherwell District Council approves a central energy centre scheme for Upper Heyford homes.,12 Apr 2025,Oxfordshire,https://www.bbc.com/news/articles/c14xkevy680o
Australia's last vote was all about Indigenous people - now they say it's 'silence',Prime Minister Anthony Albanese and Opposition leader Peter Dutton have had little to say on First Nations issues.,30 Apr 2025,Australia,https://www.bbc.com/news/articles/cx2v6zy2nyvo
Fears of global instability drive Singapore voters into ruling party's arms,The People's Action Party won by a landslide in an election dominated by concerns over the cost of living and the economy.,3 May 2025,Asia,https://www.bbc.com/news/articles/cly505gqwwpo
"Butterflies need us to mow lawns less, experts say","Alarmed at declining numbers of the insects, conservationists are asking gardeners to keep grass long.",28 Apr 2025,Wiltshire,https://www.bbc.com/news/articles/c0l060zwrero
ANC U-turn over tax that threatened South Africa's government,The finance minister drops a planned VAT increase after one party in the coalition government goes to court.,24 Apr 2025,Africa,https://www.bbc.com/news/articles/cdrg2rve3vvo
Brook given special status to save rare crayfish,Jerusalem Farm is home to one of the county's last remaining populations of white-clawed crayfish.,19 Apr 2025,England,https://www.bbc.com/news/articles/c4g2zm3zz87o
Battery farm set for approval despite objections,Residents have raised numerous concerns about building a battery energy storage site in Holmfield.,16 Apr 2025,England,https://www.bbc.com/news/articles/cvg700eny9no
Reform-run council told it could stop solar farm,Reform UK leader Nigel Farage lists some decisions the party's newly-elected councillors could make.,3 May 2025,Stoke & Staffordshire,https://www.bbc.com/news/articles/cgenl77d50wo
Hopes rare dragonfly will thrive at new site,Conservation teams have been collecting and transporting larvae to the new site in buckets.,22 Apr 2025,No tag,https://www.bbc.com/news/articles/crrzngpv589o
Industrial waste turning into rock 'in decades',"A tyre, an aluminium drinks can tab and a 1934 coin are found in rock on the Cumbrian coast.",29 Apr 2025,UK,https://www.bbc.com/news/articles/c86j2x4d29lo
Reform UK makes big gains in English local elections,Nigel Farage's party gains its first foothold in local government after seizing hundreds of seats.,3 May 2025,Politics,https://www.bbc.com/news/articles/cd6j8e38p79o
County flower's population sees 'dramatic increase',"Nearly 30,000 snake's-head fritillaries are found at an Oxford nature reserve during the 2025 count.",22 Apr 2025,Oxfordshire,https://www.bbc.com/news/articles/c7vn0p52q2go
Flowers on ex-industrial sites 'harming bees',"Metals in brownfield land can harm pollinators when wildflowers bloom there, say researchers.",16 Apr 2025,Cambridgeshire,https://www.bbc.com/news/articles/c20x97k2095o
New pope should 'carry on legacy of Francis',Pupils at a Catholic school share their hopes about which path the new pontiff should take.,6 days ago,Norfolk,https://www.bbc.com/news/articles/c705010prp4o
The secret keepers of Japan's cherry blossoms,"For 16 generations, master gardeners in this one family have dedicated their lives to preserving one of the nation's most cherished – and highly sought-out – symbols.",23 Apr 2025,Travel,https://www.bbc.com/travel/article/20250422-japans-97-year-old-cherry-blossom-guardian
What are UV levels and how can you protect yourself?,How to protect yourself from UV radiation.,29 Apr 2025,Health,https://www.bbc.com/news/articles/ckmg1572e8ko
'Inspiring' Museum of the Year nominees all outside London,The winner of the Art Fund prize will be announced this summer at a ceremony in Liverpool.,29 Apr 2025,Culture,https://www.bbc.com/news/articles/ce3v7ngn7nvo
The UK puffin paradise drawing visitors from across the world,Huge numbers of visitors flock to RSPB Bempton Cliffs to see dolphins and seabirds during spring.,3 days ago,Hull & East Yorkshire,https://www.bbc.com/news/articles/czdypeqynejo
Political and religious leaders welcome new Pope,Many figures from across the island of Ireland offer congratulations as Pope Leo XIV is elected.,5 days ago,Northern Ireland,https://www.bbc.com/news/articles/cy90e0p4j32o
"Ten Tors: Rules, routes and safety measures",Thousands of teenagers will head to Dartmoor to take part in the Devon-based challenge.,6 days ago,England,https://www.bbc.com/news/articles/ce82l1360e0o
GB Energy to be blocked from using slavery-linked solar,The government says it has listened to MPs who called for a ban on panels linked to slave labour.,23 Apr 2025,No tag,https://www.bbc.com/news/articles/c5yrg7pkzpxo
What genetics has taught us about race,"As US President Donald Trump takes aim at the Smithsonian Institution for ""anti-American ideology"", Adam Rutherford examines what the science of genetics has taught us about race.",20 Apr 2025,Future,https://www.bbc.com/future/article/20250417-biological-reality-what-genetics-has-taught-us-about-race
Warmest day of year as UK temperature hits 24.9C,Temperatures reached a new high for the year on Tuesday - and are predicted to peak on Thursday.,29 Apr 2025,UK,https://www.bbc.com/news/articles/c0m9yez3780o
Fears for wildlife as homes plan gets approval,Those living near a much-loved wildlife corridor express disappointment as a council is overruled.,2 May 2025,Birmingham & Black Country,https://www.bbc.com/news/articles/cvgqmg5l7l3o
Volunteers celebrate breaking tree-planting record,The trees planted will benefit the ecosystem while reducing soil erosion and flooding.,26 Apr 2025,Gloucestershire,https://www.bbc.com/news/articles/cly1w07pegno
China's alternative to charging electric cars,A new fully charged EV battery in five minutes – are China's swap stations the future of electric cars?,6 May 2025,Future,https://www.bbc.com/future/article/20250506-are-chinas-swap-stations-the-future-of-electric-cars
Brazilian butt lift ads banned by UK regulator,"The ads used time-limited deals to ""irresponsibly pressurise"" customers into booking, says the Advertising Standards Authority.",16 Apr 2025,Health,https://www.bbc.com/news/articles/c74zdy7j42do
Headlines: Mischief of mice and nightclub security,A look at what stories are trending across the West of England on 15 April.,15 Apr 2025,England,https://www.bbc.com/news/articles/cj3xl74e8leo
Who is Elon Musk and what is his net worth?,"It seems like not a day goes by without billionaire Elon Musk making headlines. Here's what we know about the boss of X (formerly Twitter), Tesla and SpaceX.",23 Apr 2025,Business,https://www.bbc.com/news/business-61234231
'Wildfire sent years of work up in flames',A decade of conservation was wiped out in days when a wildfire ripped across the Glen Rosa valley.,28 Apr 2025,Glasgow & West Scotland,https://www.bbc.com/news/articles/crm31l4y87ko
The world's most surprising pollinators,New research is showing just how much plants and crops rely on a host of darkness-dwelling creepy crawlies.,17 Apr 2025,Future,https://www.bbc.com/future/article/20250416-where-bees-wont-go-how-cockroaches-bats-and-beetles-pollinate-the-worlds-plants-and-crops
"Clean energy's share of world's electricity reaches 40%, report says",More clean electricity was generated in 2024 but there was a rise in the amount of coal and gas burnt too.,8 Apr 2025,Asia,https://www.bbc.com/news/articles/cq80ygdd3zlo
Could Trump invoke another rarely-used law at the border?,"The Insurrection Act of 1807 allows the president to deploy the military to enforce laws on US soil, including arresting migrants.",21 Apr 2025,US & Canada,https://www.bbc.com/news/articles/c9qwez9zz7jo
Council to spend £10m to decarbonise buildings,Twenty of Oxfordshire County Council's buildings will be adapted to cut carbon emissions.,13 Apr 2025,Oxfordshire,https://www.bbc.com/news/articles/cjdxz003rmzo
Farmers urged to comply with rules on taking water,"The warning comes amid a large number of unlicensed water abstractions, says the Environment Agency.",8 Apr 2025,England,https://www.bbc.com/news/articles/c4g2my442l0o
Swinney vows action on GP appointment 'lottery',Scotland's first minister says the NHS will be at the heart of his government's plans for the coming year.,8 days ago,Scotland Politics,https://www.bbc.com/news/articles/cx20xr0jk3wo
Flood-hit rowing club's regatta sponsorship plea,A rowing club has a cash-flow crisis after floods saw the cancellation of last year's regatta.,10 Apr 2025,Hereford & Worcester,https://www.bbc.com/news/articles/cj6884nwlz3o
Light installation will transform church interior,"The suspended light installation casts moving shadows, illuminating the church and forming halos.",19 Apr 2025,Northamptonshire,https://www.bbc.com/news/articles/clyq1ydq5vxo
"Pope's Ireland visit came at difficult time, says Varadkar",Pope Francis met former Taoiseach Leo Varadkar at Dublin Castle in 2018 as part of a two-day visit to the Republic of Ireland.,23 Apr 2025,Europe,https://www.bbc.com/news/articles/ckgev984z47o
The best spring birdwatching spots in Yorkshire,Some species return to Yorkshire in April after spending the winter in Africa.,19 Apr 2025,England,https://www.bbc.com/news/articles/cjwvvj381l0o
Can India really stop river water from flowing into Pakistan?,"After a deadly militant attack in Kashmir, India suspended a key water treaty with neighbouring Pakistan.",25 Apr 2025,Asia,https://www.bbc.com/news/articles/cd7vjyezypqo
'Pope stood for what we thought church wouldn't',A same-sex couple have praised Pope Francis during a visit to Liverpool Metropolitan Cathedral.,22 Apr 2025,Liverpool,https://www.bbc.com/news/articles/cyvq5z65rngo
Exploring Australia's 'magical' glow-in-the-dark world,"In Australia's Illawarra region, a ghostbusting-style night tour reveals ghost fungi, sea sparkles and tiny organisms lighting up the dark.",5 days ago,Travel,https://www.bbc.com/travel/article/20250508-australias-mysterious-glowing-big-four
