Title,Description,Time,Tag,Link
The artichoke so prized that people sell fakes,"For just two weeks each spring, a rare violet artichoke is harvested by hand on Venice's northern islands – and locals go to great lengths to keep it authentic.",3 May 2025,Travel,https://www.bbc.com/travel/article/20250502-the-artichoke-so-prized-that-people-sell-fakes
Politics fest to give 'sense of hope' - organisers,"Sheffield's Festival of Debate will run for six weeks at venues across the city, organisers say.",13 Apr 2025,South Yorkshire,https://www.bbc.com/news/articles/cy48v1dxeydo
How Katy Perry became the Hot and Cold popstar,"The US singer says she feels ""bruised"" after weeks of online backlash - what's sparked the change?",4 May 2025,No tag,https://www.bbc.com/news/articles/cwynz85zj2vo
Toblerone dark chocolate bar discontinued in the UK,"Mondelēz International, which owns the brand, says it took the ""difficult decision"" to axe the 360g bar.",18 Apr 2025,UK,https://www.bbc.com/news/articles/cy4v0jy925vo
Could an almighty eruption destroy a dreamy Greek island?,Scientists are investigating for the first time how dangerous the island's next big one could be.,21 Apr 2025,Europe,https://www.bbc.com/news/articles/cm25lz56rezo
Hundreds of homes to get energy saving upgrades,A fund of £13.5m is available to spend on homes with poor energy efficiency ratings.,15 Apr 2025,Bristol,https://www.bbc.com/news/articles/cr5d270ddylo
Wildfire warning over new controlled burning rules,Land managers will need to apply for a license ahead of the new muirburn season in September.,18 Apr 2025,Scotland Politics,https://www.bbc.com/news/articles/c7937vw40n3o
"Who is Pierre Poilievre, the Canadian conservative aiming to end Liberal era?",Canadian Conservative leader Pierre Poilievre is seeking to bring the Liberal Party's nine years in power to an end.,27 Apr 2025,US & Canada,https://www.bbc.com/news/articles/c9dpde9dxp0o
Plans for new 20mph limits set to be approved,Westmorland and Furness Council says the reduction would reduce pollution and improve safety.,19 Apr 2025,Cumbria,https://www.bbc.com/news/articles/cdxnwy6yv57o
UK investigating claims green fuel contains virgin palm oil,"The BBC finds evidence of fraud in the production of a ""green"" diesel meant to cut emissions.",9 Apr 2025,Climate,https://www.bbc.com/news/articles/cm24n8nej94o
"Flood works to protect town get £20,000 boost",Bunds will be built upstream of Witney to hold water back and prevent the town from being flooded.,21 Apr 2025,Oxfordshire,https://www.bbc.com/news/articles/c89gded15z8o
"Constance Marten's baby exposed to 'substantial' cold, jury hears","Marten and the baby's father, Mark Gordon, are in the middle of a retrial at the Old Bailey in London.",15 Apr 2025,UK,https://www.bbc.com/news/articles/c89g0nep49lo
"Who is Robert Prevost, the new Pope Leo XIV?",Pope Leo XIV has supported his predecessor and focus will turn on whether he continues Church reforms.,5 days ago,Europe,https://www.bbc.com/news/articles/c0ln80lzk7ko
Why Zelensky can't and won't give up Crimea,Ukraine's leader has ruled out recognising Russian control of the peninsula as part of a Trump peace plan.,24 Apr 2025,Europe,https://www.bbc.com/news/articles/cm2x58m46e1o
It's only early April and north India is bracing for extreme heat,India's weather department has issued a yellow alert for parts for northern India until Wednesday.,7 Apr 2025,Asia,https://www.bbc.com/news/articles/cwyn741gg73o
Moorland to be restored to its 'natural state',Keighley Habitat Bank will restore fields previously used for sheep grazing to their natural state.,14 Apr 2025,England,https://www.bbc.com/news/articles/c62xxv5v6nyo
Can the mammoth be resurrected?,"From an Australian frog that swallowed its own eggs to woolly mammoths, scientists could soon bring back long-lost species from the dead.",8 Apr 2025,Future,https://www.bbc.com/future/article/20230113-how-extinct-animals-could-be-brought-back-from-the-dead
City's street lights switched back on for safety,"In 2023, most of Newport's LED lights were switched off from midnight to 06:00 to save money.",17 Apr 2025,Wales,https://www.bbc.com/news/articles/c209e4qxqz1o
Health minister rejects hospital review findings,"The minister says he rejected the majority of the review's recommendations as ""unnecessary"".",14 Apr 2025,Jersey,https://www.bbc.com/news/articles/cn7x2ryr832o
How family's garden centre blossomed over 70 years,"The family business is celebrating seven decades, but it has not always been rosy.",27 Apr 2025,"Beds, Herts & Bucks",https://www.bbc.com/news/articles/cx2wrerzlrgo
"If the UK has more renewable energy, why aren't bills coming down?","The government has pledged to reduce energy bills by using more renewables, but bills are currently rising.",24 Apr 2025,No tag,https://www.bbc.com/news/articles/crkep1vx3mro
Guernsey civil servants agree deal for 5% pay rise,"Prospect, representing civil service staff, says the pay rise will be backdated to 1 January 2025.",15 Apr 2025,Guernsey,https://www.bbc.com/news/articles/cj45wpx5lzro
Why is an at-risk bird colony thriving in Suffolk?,"Residents say they are ""fed up"" with the mess the birds leave - but why is this colony thriving?",24 Apr 2025,Suffolk,https://www.bbc.com/news/articles/cy0x383gpk9o
Blue-green algae blooms in Martray Lough,"The presence of blue-green algae in Martray Lough near Ballygawley is ""disheartening"", Daera has said.",10 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/c62zzewlrpeo
Numbers of Welsh bus users lag behind rest of Britain,Wales has seen the slowest post-Covid recovery in numbers of passengers returning to the bus network.,9 Apr 2025,Wales,https://www.bbc.com/news/articles/cp91ypp11vmo
Tone deaf choir bringing joy to amateur singers,A choir for tone deaf people has added evening classes to meet the high demand.,14 Apr 2025,Bristol,https://www.bbc.com/news/articles/crld3j90yd6o
"Wildlife hopes for new 600,000-tree forest",Greencroft Forest Park is being created on farmland at a former country estate in County Durham.,16 Apr 2025,Wear,https://www.bbc.com/news/articles/c5yggq77j82o
UK's rarest wildlife being 'pushed to extinction' by grass fires,Wildfires 'could spell the end' for rare species such as water voles and hen harriers.,16 Apr 2025,Wales,https://www.bbc.com/news/articles/c2dej3x9432o
How Peter Dutton's heartland lost him Australia's election,"It was the opposition leader's home state that delivered Labor its win, with the red wave taking out his own seat.",7 days ago,Australia,https://www.bbc.com/news/articles/ckgxg6x2vv4o
Brazil to host Prince William's Earthshot Prize,The climate prize ceremony will come just before Brazil hosts the COP30 climate summit in November.,4 Apr 2025,Latin America,https://www.bbc.com/news/articles/c2kv0kpyx1yo
Behind the scenes of the 'house of bears' photo,A photographer's iconic shots of polar bears in abandoned buildings on a Russian island shine a spotlight on wider changes in their behaviour.,8 Apr 2025,Future,https://www.bbc.com/future/article/20250407-the-polar-bears-living-in-an-abandoned-arctic-weather-station
Wild chimpanzees filmed using forest 'first aid',The research builds on the discovery that chimps seek out and eat certain plants to self-medicate.,10 hrs ago,Science & Environment,https://www.bbc.com/news/articles/cqj7ln85vxwo
Severe floods hit Lanzarote after torrential rain,A state of emergency was declared in the Spanish Canary Island after 6cm (2.4in) of water fell in two hours on Saturday.,13 Apr 2025,Europe,https://www.bbc.com/news/articles/cpdz15q2931o
'Warm' Pope's passion for football remembered,Father Marc Lyden-Smith says Francis brought Sunderland victory after holding the team jersey.,21 Apr 2025,England,https://www.bbc.com/news/articles/cjdxj3nejpro
Wind farm fund supports rural community projects,"Local groups benefit from a share of £250,000 in community grants, a foundation says.",10 Apr 2025,Northamptonshire,https://www.bbc.com/news/articles/c62gg882q0mo
"Don't use barbecues on moorland, warns firefighter",Steven Fisher spoke out amid an amber alert for wildfires across most of the UK.,7 Apr 2025,Somerset,https://www.bbc.com/news/articles/cx25e9dnw2qo
Could AI text alerts help save snow leopards from extinction?,"In Pakistan, it's hoped newly-developed AI cameras could warn villagers via text to move their livestock if snow leopards enter the area.",21 Apr 2025,Asia,https://www.bbc.com/news/articles/cn80v2ngp74o
Swinney 'very moved' after Pope's funeral in Rome,First Minister John Swinney is among the Scots who have travelled to the Italian capital for the ceremony.,26 Apr 2025,Scotland Politics,https://www.bbc.com/news/articles/c0r5xdpz2zvo
Grant will allow more tree-planting for town,"Trowbridge, Wiltshire, can start phase two of a tree planting project after a grant from a national fund.",6 Apr 2025,Wiltshire,https://www.bbc.com/news/articles/c93gl17jpv2o
Resurrecting Italy's 'dead' sea - with plants,Decades of industrialisation have polluted the waters of Italy's Mar Piccolo and brought mussel farming to its knees. Can plants bring back a traditional way of life?,14 Apr 2025,Future,https://www.bbc.com/future/article/20250411-saving-italys-polluted-mar-piccolo-using-plants
Warning as dog freed from car in spring sunshine,Derbyshire Police had to smash the window to a car parked in Clay Cross.,11 Apr 2025,Derbyshire,https://www.bbc.com/news/articles/cp34qv502z2o
First minister leads Wales' tributes after Pope dies,"Actor Jonathan Pryce, who played the late Pope Francis in a film, is among those paying tribute.",21 Apr 2025,Wales,https://www.bbc.com/news/articles/cz95ve3z9z1o
Hundreds of flights cancelled in China as strong winds hit capital,"State media outlets earlier warned that people weighing less than 50kg may be ""easily blown away"".",12 Apr 2025,Asia,https://www.bbc.com/news/articles/c89gp9g5zyjo
Read Pope Francis's final address in full,A full transcript of the pontiff's final address on Easter Sunday 2025.,21 Apr 2025,Europe,https://www.bbc.com/news/articles/c4g9577g1k1o
The divides behind the scenes in the Vatican ahead of the conclave,"Pope Francis's efforts to shake up the workings of the Church should be built on by the next pope, according to some - but his critics are less convinced",8 days ago,BBC InDepth,https://www.bbc.com/news/articles/c2de9d8dky0o
Street urination 'due to lack of public toilets',York City Council is set to review plans to introduce £100 fines to curb urination in the street.,16 Apr 2025,North Yorkshire,https://www.bbc.com/news/articles/c5y5k9g8wz7o
Rundown playgrounds will be spruced up with £1m,"Parents say one particular playground is shabby and ""neglected"".",10 Apr 2025,Essex,https://www.bbc.com/news/articles/cz955n19zz7o
Election countdown - should Swinney be optimistic?,"The first minister will set out his programme for government this week, with a focus on steadying the ship.",4 May 2025,Scotland Politics,https://www.bbc.com/news/articles/cwynzj1ezv4o
Garden centres get ready for busy long weekend,"Spring sunshine sees trade in plants step up in and businesses say the weather ""drives everything"".",17 Apr 2025,Hereford & Worcester,https://www.bbc.com/news/articles/c807g3v571do
Farmers in court in 'David v Goliath' pylon battle,Five farmers appear in court for refusing access to surveyors of a controversial new pylon route.,8 Apr 2025,Wales,https://www.bbc.com/news/articles/clyqjjlqdzvo
Think about slavery before buying cheap clothes - ex-PM,The former prime minister says the issue of modern slavery has fallen down the political agenda.,15 Apr 2025,Politics,https://www.bbc.com/news/articles/c3v93yx92w4o
What do Americans think of Trump's foreign policies?,"Most Americans do not believe the US should try to take over Greenland or Gaza, a Pew Research survey suggests.",8 Apr 2025,US & Canada,https://www.bbc.com/news/articles/cd7vejvjwp0o
What the Romans did for Europe's woods,The chestnut trees of Europe tell a hidden story charting the fortunes of ancient Rome and the legacy it left in the continent's forests.,5 hrs ago,Future,https://www.bbc.com/future/article/20250513-what-chestnuts-reveal-about-the-roman-empire
Energy-efficient neighbourhood scheme launches,Wolverhampton City Council says a £545k grant will help it form a plan to implement across the city.,15 Apr 2025,Wolverhampton,https://www.bbc.com/news/articles/c87pepy195xo
A new pope is coming. Is the US embracing faith?,BBC Special Correspondent Katty Kay and author Ross Douthat discuss the state of religion and what could come with a new pope as cardinals convene at the Vatican for a conclave.,7 days ago,Business,https://www.bbc.com/worklife/article/20250507-new-pope-catholicism-america-ross-douthat-katty-kay-interview
Endangered axolotl release raises hopes for rare amphibian,"Study provides hope for future of the axolotl amphibian, pushed to the brink of extinction in Mexico.",30 Apr 2025,Science & Environment,https://www.bbc.com/news/articles/cm2xr2jzelyo
Food hubs receive another year of funding,The seven hubs in West Sussex will now continue until April 2026 thanks to the council funding.,7 Apr 2025,Sussex,https://www.bbc.com/news/articles/cn91xnqgdg5o
Free parking initiative to boost high street shops,Worthing Borough Council says this scheme will support local businesses which are facing challenges.,7 Apr 2025,Sussex,https://www.bbc.com/news/articles/c807l9p11ylo
Two more Metro trains arrive at depot,Tyne and Wear Metro bosses say the new fleet will be fully operational by the end of 2026.,14 Apr 2025,England,https://www.bbc.com/news/articles/ce8207dd74go
"Fire, fronds and flax: Africa's top shots",A selection of the week's best photos from across the African continent and beyond.,18 Apr 2025,Africa,https://www.bbc.com/news/articles/c3v9z49d6glo
Plans unveiled for town centre redesign,Horsham District Council says it wants to add new cycle lanes and public spaces to the town centre.,11 Apr 2025,Sussex,https://www.bbc.com/news/articles/cglxxjj9dr1o
Hull and East Yorkshire mayoral election: Kerry Harrison,Kerry Harrison is standing for the Green Party in the Hull and East Yorkshire mayoral election.,7 Apr 2025,Hull & East Yorkshire,https://www.bbc.com/news/articles/c78e8zwxzw7o
CCTV captures moment of explosion in central Athens,"There have been no reported injuries, as Greece's transport minister condemns the ""criminal"" attack.",12 Apr 2025,Europe,https://www.bbc.com/news/articles/c0r51d2r8peo
Student buildings bulldozed in housing estate plan,Plans are approved for up to 261 homes on a former student accomodation site in Huddersfield.,13 Apr 2025,England,https://www.bbc.com/news/articles/c4g432wvpg7o
Inspector absence puts bee population 'under threat',NI's last full-time bee inspector retired in 2024 and the part-time inspector died shortly after.,18 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/cx2vrpl04xgo
No legal requirement to update heating in new bill,A previous version of the bill required new homeowners to replace their heating systems by 2045.,3 Apr 2025,Scotland Politics,https://www.bbc.com/news/articles/cdrgd85yxmxo
Glasto blues? Check out these festivals instead,"If you missed out on Glastonbury tickets, there are plenty of other festivals to enjoy.",27 Apr 2025,England,https://www.bbc.com/news/articles/cgm8lw20r49o
Will this be the 'anyone but the big parties' local election?,"""Slivers"" of votes are set to decide the local elections - with the big parties likely to suffer.",26 Apr 2025,BBC InDepth,https://www.bbc.com/news/articles/c77nm4jprl8o
"'No hormones please, we're British beef farmers'",Different rules on farming standards on either side of the Atlantic could make a trade deal tricky,17 Apr 2025,Gloucestershire,https://www.bbc.com/news/articles/cp31qqlq29vo
NI and Irish leaders react to 'profound sadness' of Pope's death,Leaders across the island pay tribute and express condolences following the death of Pope Francis.,21 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/c74nwewyw8vo
Swinney to announce government policy plans early,"The first minister will deliver the legislative agenda next month, a year ahead of Holyrood elections.",14 Apr 2025,Scotland,https://www.bbc.com/news/articles/cy0x8llxy5yo
Donald Trump is looming over Australia's election,Foreign policy is rarely a big factor in Australia's poll - but the US president has changed that.,2 May 2025,BBC InDepth,https://www.bbc.com/news/articles/c9w80ndlp2yo
Scientists in a race to discover why our Universe exists,Researchers in the US and Japan are racing to build new particle detectors that they hope will explain why the Universe exists.,2 days ago,Science & Environment,https://www.bbc.com/news/articles/cjwvgevjjl6o
St Ives Bay carbon capture plans scrapped,"Bosses said it had been judged as ""commercially unviable"" in Cornwall and it would not be pursued.",10 Apr 2025,Cornwall,https://www.bbc.com/news/articles/cq5ww14zv1vo
Show reveals 'extraordinary' Ice Age art - council,"The Keighley Cliffe Castle display will contain objects from the British Museum, the council says.",12 Apr 2025,England,https://www.bbc.com/news/articles/cg721jl29pno
How a burning river lit the US's green movement,"The Cuyahoga River was so polluted it regularly went up in flames. Images of one dramatic blaze in 1952 shaped the US's nascent environmental movement, long after the flames went out.",1 May 2025,Future,https://www.bbc.com/future/article/20250429-how-the-cuyahoga-river-fires-fuelled-the-us-green-movement
Tropical parakeets ruffle feathers at Belfast park,It's estimated that about 15 parakeets have found a new home in north Belfast.,17 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/c1megxvnx3yo
Dozens die after torrential rain hammers Congolese capital,Kinshasa is prone to soil erosion and the president warned the climate crisis is making flooding worse.,7 Apr 2025,Africa,https://www.bbc.com/news/articles/cr782rgn8x4o
Bites on gladiator bones prove combat with lion,Experts say the discovery provides the first physical evidence of gladiatorial combat with animals.,23 Apr 2025,North Yorkshire,https://www.bbc.com/news/articles/cp8v2063r19o
Morris dancer set for 11-hour world record attempt,Duncan Bhaskaran Brown will try to dance for more than 11 hours straight in Abingdon on Saturday.,11 Apr 2025,Oxfordshire,https://www.bbc.com/news/articles/cvg99yym52eo
Voters urged to register as deadline looms,Voters must be registered by 23:59 BST on Friday 11 April.,11 Apr 2025,Kent,https://www.bbc.com/articles/c78jj034762o
South America proposes 64-team 2030 World Cup,South American governing body Conmebol proposes expanding the 2030 World Cup to 64 teams.,11 Apr 2025,World Cup,https://www.bbc.com/sport/football/articles/c8jegenyx3vo
Just Stop Oil duo deny Tesla robot criminal damage,"Nigel Fleming, 63, and Catherine Nash, 74, are charged with causing £2,696.40 in criminal damage.",8 Apr 2025,England,https://www.bbc.com/news/articles/cvgn17204lxo
When Mourinho ghosted Eto'o to get best out of him,Jose Mourinho reveals his inspired psychological tactics which helped Inter Milan win the Champions League in new BBC Sport documentary.,15 Apr 2025,European Football,https://www.bbc.com/sport/football/articles/cwynnyrq091o
Low carbon farming 'essential' for climate goals,"The Climate Change Committee says the executive ""will need to broaden and accelerate action"".",19 Mar 2025,Northern Ireland,https://www.bbc.com/news/articles/c1en2dzw6eyo
Work begins to restore stream for fish and wildlife,Lustrum Beck is undergoing work which hopes to attract creatures including water voles and otters.,11 Apr 2025,Tees,https://www.bbc.com/news/articles/c5y66dkex0qo
Morris dancer completes 11-hour world record attempt,"Duncan Bhaskaran Brown estimates he danced 100,000 steps to 186 traditional folk tunes.",12 Apr 2025,Oxfordshire,https://www.bbc.com/news/articles/c1lmjvg7rnmo
Leader 'instrumental' in growth of wildlife group,Chief executive Leigh Morris is set to leave the Manx Wildlife Trust after five years in the post.,6 Apr 2025,Isle of Man,https://www.bbc.com/news/articles/cm2d2lrd018o
Europe's most exciting getaways for 2025 travel,"From romantic retreats in the Mediterranean to fresh-air-filled Alpine hikes, these are the most exciting areas of Europe to visit this year.",9 Apr 2025,Travel,https://www.bbc.com/travel/article/20250407-best-european-vacation-destinations
Geothermal energy plan for university buildings,The University of York scheme will also look at ways to reduce fossil fuel use across the city.,10 Apr 2025,North Yorkshire,https://www.bbc.com/news/articles/c05nnm1p6vqo
How much vital UK infrastructure does China own?,BBC Verify looks at what we know about the extent of Chinese investment in the UK economy.,15 Apr 2025,BBC Verify,https://www.bbc.com/news/articles/cn4w3y4pdkzo
Port revamp and seafront 'oasis' work moves nearer,Leigh Port would be improved at a cost of £14.8m under plans submitted by the council.,12 Apr 2025,Essex,https://www.bbc.com/news/articles/c9vegz2lpzvo
"Toad patrol helps 50,000 to breeding grounds","The group oversees the Charlcombe Lane road closure, with volunteers ensuring the safe passage of toads.",11 Apr 2025,England,https://www.bbc.com/news/articles/cjeww55l5zzo
A tale of two South East high streets,BBC South East speaks to shoppers and high street businesses in Leatherhead and Chatham.,14 Apr 2025,England,https://www.bbc.com/news/articles/c2kvvwnzgkno
Six moments that mattered as Leeds won promotion,"From a slow start to a silent January and changing goalkeepers with seven games left, BBC Sport looks at the key moments in Leeds' promotion campaign.",21 Apr 2025,Leeds,https://www.bbc.com/sport/football/articles/c793r3l718jo
Firefighters tackle third hillside wildfire,The fire near Inverkip broke out as emergency services said blazes in Galloway and the Highlands had been brought under control.,7 Apr 2025,Scotland,https://www.bbc.com/news/articles/c98gy8mlleno
Patrick Harvie warns of Green infighting and far right threat,"Patrick Harvie warns of ""dangerous forces"" of the far right in his final Scottish Greens conference speech as co-leader.",12 Apr 2025,Scotland Politics,https://www.bbc.com/news/articles/cjewl2n95qeo
Evacuations as wildfire spreads north through forest,"The fire service has deployed helicopters as part of efforts to extinguish the flames, while police have urged people to avoid the area.",6 Apr 2025,South Scotland,https://www.bbc.com/news/articles/c0jznpepyn6o
Weekly quiz: What was special about this baby?,How much attention did you pay to what has been going on in the world over the past seven days?,10 Apr 2025,No tag,https://www.bbc.com/news/articles/c2kvvwln504o
"'Flower show has been my entire life, now it's gone'",Shrewsbury Flower Show began in 1875 but organisers said they could no longer continue due to costs.,17 Apr 2025,Shropshire,https://www.bbc.com/news/articles/c98gd7l25l5o
Emergency water supply for at-risk canal costing £100k a week,"The charity operating the canal says it can't continue to shoulder the up to £100,000 a week costs.",4 Apr 2025,Wales,https://www.bbc.com/news/articles/c70z8rdw0lno
"Green leadership contest 'wide open', says Slater","The Green co-leader dismissed claims of a Holyrood ""clique"" ahead of her party's spring conference.",11 Apr 2025,Scotland Politics,https://www.bbc.com/news/articles/c3ev55ewd8eo
Welsh gin first in UK to get protected status,Dovey Native Botanical Gin is the first in the UK to be given the recognition.,8 Apr 2025,Wales,https://www.bbc.com/news/articles/c98g4y5807qo
Farmers 'will take whatever rain we get',"Many crops are ""stressed"" after the sunniest April on record, but apples are more resilient.",2 days ago,Northamptonshire,https://www.bbc.com/news/articles/cev49zkpv04o
You can't please everybody - Man Utd boss Skinner,"Manager Marc Skinner accepts he is ""not going to please everybody"" in the Manchester United fanbase.",11 Apr 2025,Women's Football,https://www.bbc.com/sport/football/articles/c77nnpr4x0xo
Greater Lincolnshire mayoral election: Sally Horscroft,Sally Horscroft is the Green Party candidate in the Greater Lincolnshire mayoral election on 1 May.,7 Apr 2025,Lincolnshire,https://www.bbc.com/news/articles/cly1jpl3m7yo
Aid agency donates 300k to Myanmar relief efforts,Jersey Overseas Aid has given emergency funds to help relief in Myanmar after the earthquake.,7 Apr 2025,Jersey,https://www.bbc.com/news/articles/c62jxre03k2o
Wrexham criticised for flying to away match,"Over two days, the plane travelled almost 1,200 miles to take the Wrexham team to Wycombe.",1 Apr 2025,Wales,https://www.bbc.com/news/articles/cwy7v1z45d8o
Wildlife surveys begin on onshore wind farm plans,Ecological surveys in Earystane and Scard are set to grow understanding of local wildlife behaviour.,7 Apr 2025,Isle of Man,https://www.bbc.com/news/articles/c4grmny4z9mo
Chance of asteroid hitting Moon increases slightly,Asteroid 2024 YR4 won’t hit Earth but now has a 3.8% chance of striking the Moon.,4 Apr 2025,Science & Environment,https://www.bbc.com/news/articles/cpdznz83x8vo
Woman who hired 'man with van' on Facebook fined £2k,Simone Jackson found someone on social media to remove her rubbish but it was later found dumped.,9 Apr 2025,Manchester,https://www.bbc.com/news/articles/c5y40eexjd3o
"Francis was a vocal critic of the powerful, his influence felt far beyond faith","The informal Pope aimed to shift influence from Rome into hands of the faithful, the BBC's Aleem Maqbool writes.",21 Apr 2025,BBC InDepth,https://www.bbc.com/news/articles/c15v0zdnnjqo
Tourist attraction shut nearly as often as open,"The Islandmagee tourist attraction has been closed by rockfalls, storm damage and planned works.",13 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/cp34y59ywgxo
The 'freakosystem' accidentally created on Hawaii,Ecosystems which have never been seen before are being accidentally created by humans. They offer a stark look into the nature of tomorrow.,4 Apr 2025,Future,https://www.bbc.com/future/article/20250403-the-new-hawaiian-freakosystem-emerging-on-oahu-accidentally-created-by-humans
North of Scotland electricity network to have £450m upgrade,Scottish and Southern Electricity Networks (SSEN) said the work would create at least 300 skilled jobs.,7 Apr 2025,Scotland,https://www.bbc.com/news/articles/c1me5mj12vdo
Deep coal mine plans officially dropped,Plans for the first deep coal mine in the UK in more than 30 years are officially abandoned.,4 Apr 2025,Cumbria,https://www.bbc.com/news/articles/cy0ynqqzezvo
Rewilding charity angry at delay to beaver project,NatureScot says they have delayed granting a licence due to concerns in the local community,2 Apr 2025,Highlands & Islands,https://www.bbc.com/news/articles/ceqrxr72xgvo
Rewilding work aims to restore vital fen wetland,A private company will restore a former daffodil farm at High Fen in Methwold to vital fen habitat.,11 Apr 2025,Norfolk,https://www.bbc.com/news/articles/cwynng9x2kno
Fire service must 'adapt and invest' - mayor,A new action plan for North Yorkshire Fire Service lays out its approach for the next four years.,8 Apr 2025,North Yorkshire,https://www.bbc.com/news/articles/cwy7ee76029o
Rise in sewage spills prompts investment concerns,"An MP says the figures are ""disgraceful"" while Anglian Water promises ""transformational action"".",10 Apr 2025,Norfolk,https://www.bbc.com/news/articles/cwynnz305z0o
Charity hopes ban will boost butterfly population,The Butterfly Conservation said it was one of the worst years for butterflies in Derbyshire.,4 Apr 2025,Derbyshire,https://www.bbc.com/news/articles/cwyq520pj8lo
Couples 'in limbo' as wedding venue suddenly shuts,"The venue in Kendal says ""every effort"" was made to try and sell the business as a going concern.",3 Apr 2025,Cumbria,https://www.bbc.com/news/articles/cd6jv406885o
Ski resort to keep making artificial snow until May,The ski centre's boss says it has been a challenging winter thanks to a lack of natural snowfall.,3 Apr 2025,Highlands & Islands,https://www.bbc.com/news/articles/cpq7d2rypn2o
In pictures: Scottish nature photo awards 2024,"Images taken in Shetland, Orkney, Highlands and Edinburgh were among the winners.",1 Apr 2025,Scotland,https://www.bbc.com/news/articles/cn0w33z0gwzo
UK Environment Agency orders review into tyre recycling after BBC probe,Environment Agency review waste tyre exports after BBC probe reveals millions sent to furnaces in India.,2 Apr 2025,Asia,https://www.bbc.com/news/articles/c4grlpyje41o
Up to 800 jobs set to be cut at two NHS trusts,"The spokesperson says the cuts will be ""difficult"" but ""necessary"" to meet patients' needs.",11 Apr 2025,Hampshire & Isle of Wight,https://www.bbc.com/news/articles/c20xx0kn3yyo
Where EV batteries go to die - and be reborn,"Batteries for electric vehicles are notoriously difficult to recycle, but growing demand for the rare metals they contain is leading to innovative new ways of retrieving them.",5 Apr 2025,Future,https://www.bbc.com/future/article/20250404-where-ev-batteries-go-to-die-and-be-reborn
Alcohol makes male fruit flies more attractive,Alcohol increases the release of chemical sex signals and makes males more attractive to females.,2 Apr 2025,No tag,https://www.bbc.com/news/articles/cy8e772enngo
Vigil for GP jailed over Just Stop Oil protest,The Bristol GP was jailed for a year in January for his role in a protest.,30 Mar 2025,Bristol,https://www.bbc.com/news/articles/cpq7j5z85z1o
UK's first water tracking centre could prevent pandemic,The data could be used to alert public health teams of new outbreaks.,9 Apr 2025,England,https://www.bbc.com/news/articles/ckgxne2gk5no
Australia's looming election brings housing crisis into focus,"Australia's housing crisis has hit its worst point in decades, becoming a key issue in the upcoming election.",14 Apr 2025,Australia,https://www.bbc.com/news/articles/cq5wlevy647o
Solar farm approved despite local opposition,"The application for panels on 136 acres of farmland, near Long Sutton, was narrowly voted through.",4 Apr 2025,Hampshire & Isle of Wight,https://www.bbc.com/news/articles/c62zl639vxzo
Next 10 days crucial for farmers 'praying' for rain,Nigel Friend raises concerns about the impact of the driest April on record for farming.,2 hrs ago,England,https://www.bbc.com/news/articles/crmknz78n29o
What matters to Kent voters in the local elections,"Residents in Maidstone are speaking out about what matters to them, from potholes to libraries.",9 Apr 2025,Kent,https://www.bbc.com/news/articles/c78jeq8qdl9o
More than half of UK's butterfly species in long-term decline,"The destruction of habitats by humans is largely to blame, a conservationist warns.",2 Apr 2025,Dorset,https://www.bbc.com/news/articles/c230kzz73zmo
